Wavelength (nm)	L03 abs e
319.75	5533.8
320.00	5652.2
320.25	5776.0
320.50	5591.8
320.75	5179.9
321.00	5330.0
321.25	5378.8
321.50	5106.7
321.75	5073.8
322.00	5215.9
322.25	4826.1
322.50	4353.2
322.75	4633.3
323.00	4731.5
323.25	4272.1
323.50	4291.0
323.75	4596.0
324.00	4330.0
324.25	3877.9
324.50	4031.7
324.75	4059.1
325.00	3769.9
325.25	3730.9
325.50	4076.2
325.75	3818.8
326.00	3490.5
326.25	3628.4
326.50	3223.9
326.75	3333.7
327.00	3378.2
327.25	3333.1
327.50	2967.0
327.75	3610.1
328.00	3599.7
328.25	3292.2
328.50	3189.7
328.75	3312.4
329.00	3108.6
329.25	3023.8
329.50	2809.6
329.75	3307.5
330.00	2945.7
330.25	3029.3
330.50	3164.7
330.75	2923.1
331.00	2838.3
331.25	2843.2
331.50	2818.8
331.75	2707.1
332.00	2719.9
332.25	2816.9
332.50	2826.7
332.75	2400.8
333.00	2438.0
333.25	2618.6
333.50	2747.4
333.75	2475.3
334.00	2469.8
334.25	2294.7
334.50	2588.7
334.75	2275.8
335.00	2334.9
335.25	2027.4
335.50	2015.2
335.75	2106.8
336.00	2450.2
336.25	2307.5
336.50	2275.8
336.75	2237.9
337.00	1932.9
337.25	2129.9
337.50	2390.5
337.75	2065.9
338.00	1709.6
338.25	1632.7
338.50	1842.6
338.75	1817.6
339.00	1646.7
339.25	1888.3
339.50	1677.8
339.75	1832.2
340.00	1766.9
340.25	1654.6
340.50	1676.6
340.75	1719.9
341.00	1633.9
341.25	1556.4
341.50	1391.1
341.75	1578.4
342.00	1419.8
342.25	1687.6
342.50	1840.7
342.75	1541.8
343.00	1525.9
343.25	1535.7
343.50	1579.0
343.75	1296.5
344.00	1324.6
344.25	1500.9
344.50	1671.7
344.75	1730.9
345.00	1943.2
345.25	1552.1
345.50	1649.2
345.75	1842.0
346.00	1531.4
346.25	1764.5
346.50	1497.8
346.75	1582.7
347.00	1486.9
347.25	1590.0
347.50	1599.7
347.75	1490.5
348.00	1640.0
348.25	1558.3
348.50	1771.8
348.75	1679.7
349.00	1945.7
349.25	1643.1
349.50	1796.2
349.75	1798.6
350.00	1738.2
350.25	1847.4
350.50	2078.1
350.75	1712.6
351.00	1783.4
351.25	1940.2
351.50	1676.6
351.75	1888.3
352.00	1738.8
352.25	1752.3
352.50	1687.6
352.75	1719.9
353.00	1815.7
353.25	1868.2
353.50	1539.9
353.75	1876.1
354.00	1852.9
354.25	1785.8
354.50	2015.2
354.75	1715.1
355.00	1899.9
355.25	1773.0
355.50	2010.4
355.75	1735.2
356.00	1797.4
356.25	1827.3
356.50	1745.6
356.75	1743.7
357.00	1829.1
357.25	1709.0
357.50	1756.5
357.75	1833.4
358.00	1945.7
358.25	1860.9
358.50	2027.4
358.75	1854.8
359.00	1502.7
359.25	1749.2
359.50	1800.5
359.75	1928.0
360.00	1649.2
360.25	1649.2
360.50	1641.8
360.75	1795.0
361.00	1593.6
361.25	1603.4
361.50	1713.8
361.75	1646.7
362.00	1578.4
362.25	1688.2
362.50	1690.0
362.75	1713.8
363.00	1606.5
363.25	1482.0
363.50	1561.3
363.75	1705.9
364.00	1633.3
364.25	1609.5
364.50	1701.6
364.75	1595.5
365.00	1507.0
365.25	1646.1
365.50	1558.3
365.75	1686.4
366.00	1573.5
366.25	1441.7
366.50	1487.5
366.75	1625.4
367.00	1547.9
367.25	1693.1
367.50	1595.5
367.75	1571.7
368.00	1626.0
368.25	1641.8
368.50	1525.9
368.75	1726.6
369.00	1752.3
369.25	1689.4
369.50	1541.8
369.75	1609.5
370.00	1643.7
370.25	1395.3
370.50	1605.8
370.75	1490.5
371.00	1377.0
371.25	1557.0
371.50	1665.0
371.75	1740.7
372.00	1518.6
372.25	1587.5
372.50	1748.6
372.75	1494.2
373.00	1636.3
373.25	1493.0
373.50	1276.4
373.75	1668.1
374.00	1593.0
374.25	1615.6
374.50	1433.2
374.75	1556.4
375.00	1560.1
375.25	1399.0
375.50	1381.9
375.75	1601.0
376.00	1420.4
376.25	1564.4
376.50	1416.1
376.75	1586.9
377.00	1480.2
377.25	1487.5
377.50	1385.6
377.75	1370.9
378.00	1420.4
378.25	1374.6
378.50	1485.6
378.75	1190.3
379.00	1446.0
379.25	1294.7
379.50	1277.6
379.75	1275.8
380.00	1227.6
380.25	1297.1
380.50	1191.6
380.75	1023.8
381.00	1267.8
381.25	1244.0
381.50	954.84
381.75	1142.1
382.00	971.31
382.25	1015.9
382.50	965.21
382.75	975.58
383.00	1084.2
383.25	1005.5
383.50	863.93
383.75	945.69
384.00	1067.1
384.25	995.72
384.50	840.14
384.75	953.62
385.00	909.08
385.25	774.85
385.50	968.26
385.75	764.48
386.00	897.49
386.25	917.62
386.50	994.50
386.75	1112.9
387.00	754.72
387.25	873.08
387.50	896.88
387.75	659.54
388.00	691.88
388.25	615.61
388.50	702.25
388.75	646.12
389.00	658.32
389.25	564.36
389.50	522.26
389.75	779.74
390.00	718.11
390.25	471.62
390.50	664.42
390.75	687.61
391.00	810.85
391.25	602.19
391.50	613.78
391.75	635.14
392.00	780.35
392.25	646.12
392.50	726.65
392.75	601.58
393.00	605.24
393.25	620.49
393.50	608.29
393.75	737.03
394.00	617.44
394.25	823.05
394.50	747.40
394.75	528.37
395.00	716.28
395.25	636.97
395.50	714.45
395.75	587.55
396.00	682.12
396.25	685.17
396.50	650.39
396.75	532.64
397.00	668.08
397.25	713.84
397.50	558.87
397.75	584.50
398.00	535.08
398.25	721.77
398.50	582.67
398.75	773.02
399.00	748.62
399.25	541.18
399.50	708.35
399.75	585.72
400.00	557.65
400.25	800.48
400.50	644.29
400.75	464.30
401.00	664.42
401.25	471.01
401.50	549.72
401.75	696.76
402.00	705.30
402.25	527.76
402.50	600.97
402.75	671.13
403.00	623.54
403.25	594.26
403.50	530.81
403.75	607.68
404.00	628.43
404.25	615.61
404.50	613.78
404.75	752.28
405.00	553.99
405.25	657.71
405.50	585.11
405.75	607.07
406.00	600.97
406.25	600.97
406.50	574.73
406.75	691.88
407.00	667.47
407.25	610.73
407.50	667.47
407.75	724.82
408.00	639.41
408.25	649.78
408.50	588.16
408.75	649.78
409.00	645.51
409.25	554.60
409.50	656.49
409.75	590.60
410.00	668.08
410.25	622.32
410.50	671.13
410.75	618.66
411.00	552.77
411.25	655.27
411.50	733.98
411.75	709.57
412.00	758.38
412.25	475.89
412.50	589.99
412.75	712.62
413.00	801.09
413.25	654.66
413.50	606.46
413.75	525.92
414.00	746.79
414.25	532.64
414.50	593.65
414.75	692.49
415.00	596.09
415.25	788.28
415.50	669.30
415.75	721.77
416.00	816.34
416.25	674.18
416.50	684.56
416.75	737.64
417.00	817.56
417.25	558.26
417.50	556.43
417.75	713.84
418.00	624.76
418.25	774.85
418.50	792.55
418.75	823.66
419.00	777.30
419.25	926.16
419.50	690.05
419.75	831.60
420.00	733.98
420.25	595.48
420.50	743.13
420.75	762.04
421.00	768.75
421.25	746.18
421.50	760.82
421.75	809.02
422.00	650.39
422.25	861.49
422.50	775.46
422.75	793.77
423.00	784.62
423.25	798.65
423.50	894.44
423.75	715.67
424.00	793.16
424.25	886.51
424.50	930.44
424.75	957.28
425.00	976.19
425.25	1022.0
425.50	973.75
425.75	927.38
426.00	957.28
426.25	990.84
426.50	995.72
426.75	816.95
427.00	949.96
427.25	883.46
