Wavelength (nm)	L02 abs e
326.00	9913.2
326.25	9618.9
326.50	8823.4
326.75	8786.0
327.00	8823.4
327.25	8570.7
327.50	8071.6
327.75	8220.3
328.00	7269.8
328.25	7008.8
328.50	7268.8
328.75	6723.9
329.00	6859.1
329.25	7438.3
329.50	7070.2
329.75	7170.0
330.00	6783.2
330.25	5954.4
330.50	5884.7
330.75	5938.8
331.00	6356.8
331.25	5775.5
331.50	6283.0
331.75	5130.8
332.00	5090.2
332.25	4973.8
332.50	5173.4
332.75	5367.9
333.00	5725.6
333.25	5139.1
333.50	4821.9
333.75	4755.4
334.00	4390.4
334.25	4576.5
334.50	4309.3
334.75	5709.0
335.00	4542.2
335.25	4687.8
335.50	4021.2
335.75	3938.0
336.00	3567.8
336.25	4366.5
336.50	4110.7
336.75	3945.3
337.00	4103.4
337.25	3866.3
337.50	4022.3
337.75	4011.9
338.00	3266.3
338.25	4247.9
338.50	3725.9
338.75	4073.2
339.00	3963.0
339.25	3778.9
339.50	3262.1
339.75	3637.5
340.00	3498.2
340.25	3476.3
340.50	3307.9
340.75	3800.8
341.00	3389.0
341.25	2979.3
341.50	3165.4
341.75	3393.1
342.00	3189.3
342.25	3728.0
342.50	3303.7
342.75	3455.5
343.00	3037.5
343.25	3493.0
343.50	3402.5
343.75	2921.0
344.00	3509.6
344.25	3346.3
344.50	3140.5
344.75	3339.1
345.00	3378.6
345.25	2672.5
345.50	2955.4
345.75	3108.2
346.00	2473.9
346.25	2962.6
346.50	2998.0
346.75	3108.2
347.00	3422.3
347.25	2978.2
347.50	3130.1
347.75	2955.4
348.00	2518.6
348.25	3410.8
348.50	3014.6
348.75	3330.8
349.00	3185.2
349.25	2923.1
349.50	3106.1
349.75	3353.6
350.00	3368.2
350.25	3025.0
350.50	2701.6
350.75	3083.3
351.00	2878.4
351.25	2914.8
351.50	3249.6
351.75	3496.1
352.00	3401.5
352.25	2929.4
352.50	2981.3
352.75	2740.1
353.00	2980.3
353.25	3171.6
353.50	3410.8
353.75	2784.8
354.00	2830.6
354.25	3110.3
354.50	3207.0
354.75	3190.4
355.00	3412.9
355.25	3293.3
355.50	2694.3
355.75	3020.9
356.00	3365.1
356.25	2833.7
356.50	3372.3
356.75	3630.2
357.00	3245.5
357.25	3244.4
357.50	3303.7
357.75	3246.5
358.00	3538.7
358.25	3391.1
358.50	3162.3
358.75	3389.0
359.00	3376.5
359.25	3230.9
359.50	3494.0
359.75	3679.1
360.00	3328.7
360.25	2998.0
360.50	3418.1
360.75	3316.2
361.00	3113.4
361.25	2808.7
361.50	2986.5
361.75	3384.8
362.00	3425.4
362.25	3807.0
362.50	3425.4
362.75	3619.8
363.00	3773.7
363.25	3842.4
363.50	3566.8
363.75	3597.0
364.00	4054.5
364.25	3786.2
364.50	3693.7
364.75	3971.3
365.00	3922.4
365.25	3729.0
365.50	4145.0
365.75	3904.8
366.00	4174.1
366.25	4046.2
366.50	4306.2
366.75	4181.4
367.00	4116.9
367.25	4426.8
367.50	3849.7
367.75	4142.9
368.00	3870.5
368.25	4178.3
368.50	4198.0
368.75	4210.5
369.00	4110.7
369.25	4245.8
369.50	4359.2
369.75	4584.9
370.00	4223.0
370.25	4154.3
370.50	4389.4
370.75	4093.0
371.00	4271.8
371.25	4820.9
371.50	4657.6
371.75	4418.5
372.00	4267.7
372.25	4767.9
372.50	4574.5
372.75	5071.5
373.00	4594.2
373.25	4502.7
373.50	5313.8
373.75	4944.7
374.00	4521.4
374.25	5015.4
374.50	5131.8
374.75	5009.1
375.00	5173.4
375.25	4811.5
375.50	4724.2
375.75	4884.3
376.00	5362.7
376.25	5085.0
376.50	5256.6
376.75	5002.9
377.00	5107.9
377.25	5490.6
377.50	5071.5
377.75	4905.1
378.00	5617.5
378.25	5276.4
378.50	5273.3
378.75	5514.5
379.00	5527.0
379.25	5432.4
379.50	5973.1
379.75	5628.9
380.00	5718.3
380.25	5911.7
380.50	5806.7
380.75	5773.4
381.00	6107.2
381.25	6306.9
381.50	5878.5
381.75	5965.8
382.00	5958.5
382.25	6004.3
382.50	6053.2
382.75	6318.3
383.00	6419.2
383.25	6633.4
383.50	6325.6
383.75	6702.1
384.00	6894.4
384.25	6746.8
384.50	7040.0
384.75	6896.5
385.00	6744.7
385.25	7082.7
385.50	7066.0
385.75	7387.3
386.00	7087.9
386.25	7257.4
386.50	6954.7
386.75	7301.0
387.00	7171.0
387.25	7573.5
387.50	7710.7
387.75	7497.6
388.00	7360.3
388.25	7974.9
388.50	7540.2
388.75	7653.6
389.00	7921.8
389.25	7999.8
389.50	7996.7
389.75	7973.8
390.00	8130.9
390.25	8532.3
390.50	8112.1
390.75	8226.5
391.00	8327.4
391.25	8429.3
391.50	8328.4
391.75	8514.6
392.00	8594.6
392.25	8459.5
392.50	8641.4
392.75	9074.0
393.00	8812.0
393.25	9068.8
393.50	8796.4
393.75	9084.4
394.00	9259.1
394.25	9318.4
394.50	9578.4
394.75	9457.8
395.00	9251.9
395.25	9385.0
395.50	9817.6
395.75	9857.1
396.00	10035
396.25	10160
396.50	10034
396.75	10322
