Wavelength (nm)	L01 abs e
308.25	2020.2
308.50	2055.7
308.75	2078.6
309.00	2087.9
309.25	2084.3
309.50	2122.4
309.75	2016.0
310.00	2147.7
310.25	2099.4
310.50	2150.1
310.75	2176.7
311.00	2159.7
311.25	2236.7
311.50	2232.5
311.75	2297.0
312.00	2193.2
312.25	2260.5
312.50	2281.9
312.75	2301.7
313.00	2388.8
313.25	2365.4
313.50	2437.8
313.75	2296.9
314.00	2268.5
314.25	2291.2
314.50	2392.9
314.75	2350.9
315.00	2375.9
315.25	2290.8
315.50	2495.7
315.75	2450.0
316.00	2397.4
316.25	2336.2
316.50	2346.6
316.75	2360.8
317.00	2401.5
317.25	2318.7
317.50	2189.3
317.75	2287.9
318.00	2215.8
318.25	2280.1
318.50	2363.2
318.75	2092.8
319.00	2135.9
319.25	2355.2
319.50	2138.0
319.75	2120.8
320.00	2115.8
320.25	2118.8
320.50	2088.0
320.75	2019.0
321.00	2089.5
321.25	1991.8
321.50	2029.2
321.75	2062.0
322.00	2065.4
322.25	1996.4
322.50	1993.7
322.75	2054.9
323.00	2075.1
323.25	1975.9
323.50	1987.0
323.75	2041.0
324.00	2043.7
324.25	2037.7
324.50	1936.4
324.75	2046.9
325.00	1965.0
325.25	2022.6
325.50	2029.4
325.75	1942.7
326.00	2044.5
326.25	1995.5
326.50	1987.5
326.75	2040.6
327.00	2113.0
327.25	2169.3
327.50	2126.5
327.75	2145.6
328.00	2148.5
328.25	2180.6
328.50	2242.6
328.75	2245.9
329.00	2207.9
329.25	2288.1
329.50	2371.1
329.75	2334.3
330.00	2338.2
330.25	2384.9
330.50	2390.1
330.75	2428.1
331.00	2443.4
331.25	2569.7
331.50	2588.4
331.75	2588.8
332.00	2619.3
332.25	2708.7
332.50	2665.4
332.75	2672.7
333.00	2731.4
333.25	2715.5
333.50	2756.8
333.75	2889.2
334.00	2938.8
334.25	2934.0
334.50	2946.3
334.75	2955.7
335.00	3018.2
335.25	3017.9
335.50	3054.4
335.75	3175.3
336.00	3108.0
336.25	3203.5
336.50	3260.2
336.75	3306.9
337.00	3352.8
337.25	3366.6
337.50	3360.9
337.75	3480.9
338.00	3536.1
338.25	3571.5
338.50	3628.4
338.75	3734.5
339.00	3700.7
339.25	3741.1
339.50	3881.7
339.75	3916.3
340.00	3935.1
340.25	3988.7
340.50	4119.6
340.75	4063.4
341.00	4097.0
341.25	4267.1
341.50	4254.4
341.75	4360.7
342.00	4464.8
342.25	4494.3
342.50	4549.6
