Wavelength (nm)	I12 abs e
577.0	6179.3
578.0	6405.0
579.0	6642.5
580.0	6927.0
581.0	7213.2
582.0	7472.6
583.0	7717.9
584.0	8090.9
585.0	8420.4
586.0	8709.8
587.0	9094.5
588.0	9445.1
589.0	9787.2
590.0	10191
591.0	10578
592.0	11003
593.0	11397
594.0	11751
595.0	12155
596.0	12507
597.0	12875
598.0	13235
599.0	13560
600.0	13847
601.0	14122
602.0	14374
603.0	14626
604.0	14815
605.0	15011
606.0	15193
607.0	15350
608.0	15511
609.0	15649
610.0	15784
611.0	15903
612.0	16038
613.0	16153
614.0	16283
615.0	16416
616.0	16557
617.0	16728
618.0	16901
619.0	17113
620.0	17323
621.0	17557
622.0	17876
623.0	18169
624.0	18531
625.0	18930
626.0	19388
627.0	19864
628.0	20378
629.0	20976
630.0	21563
631.0	22182
632.0	22864
633.0	23529
634.0	24182
635.0	24905
636.0	25684
637.0	26406
638.0	27198
639.0	27991
640.0	28816
641.0	29577
642.0	30372
643.0	31347
644.0	32180
645.0	33038
646.0	33912
647.0	34884
648.0	35847
649.0	36783
650.0	37565
651.0	38498
652.0	39202
653.0	39812
654.0	40183
655.0	40530
656.0	40700
657.0	40292
658.0	39694
659.0	38863
660.0	37904
661.0	36699
662.0	35217
663.0	33626
664.0	31986
665.0	30099
666.0	28169
667.0	26232
668.0	24303
669.0	22444
670.0	20622
671.0	18878
672.0	17240
673.0	15776
674.0	14346
675.0	13064
676.0	11881
677.0	10800
678.0	9797.1
679.0	8895.3
680.0	8057.5
681.0	7297.0
682.0	6597.9
683.0	5954.6
684.0	5355.3
685.0	4802.9
686.0	4317.8
687.0	3863.4
688.0	3453.3
689.0	3084.2
690.0	2734.0
691.0	2425.4
692.0	2162.2
693.0	1904.3
694.0	1691.9
695.0	1487.6
696.0	1321.6
697.0	1163.1
698.0	1032.2
699.0	913.93
700.0	807.79
701.0	718.27
702.0	635.37
703.0	573.53
704.0	519.70
705.0	448.60
706.0	403.22
707.0	355.26
708.0	317.32
709.0	296.70
710.0	266.24
711.0	237.09
712.0	215.31
713.0	189.58
714.0	166.21
715.0	144.68
716.0	131.21
717.0	122.84
718.0	123.07
719.0	99.349
720.0	99.906
721.0	92.633
722.0	92.902
723.0	71.908
724.0	71.226
725.0	74.656
726.0	76.867
727.0	57.464
728.0	55.439
729.0	47.298
730.0	54.385
731.0	43.000
732.0	45.583
733.0	37.256
734.0	39.033
735.0	33.784
736.0	28.887
737.0	34.631
738.0	30.251
739.0	24.507
740.0	27.007
741.0	38.805
742.0	33.991
743.0	41.161
744.0	32.255
745.0	31.863
746.0	27.275
747.0	25.581
748.0	25.726
749.0	26.325
750.0	32.916
751.0	21.614
752.0	32.544
753.0	31.718
754.0	26.346
755.0	24.610
756.0	23.267
757.0	15.890
758.0	10.807
759.0	13.576
760.0	16.097
761.0	21.614
762.0	40.706
763.0	5.6204
764.0	25.023
765.0	25.519
766.0	21.386
767.0	13.369
768.0	22.048
769.0	9.8150
770.0	17.130
771.0	17.894
772.0	27.544
773.0	24.362
774.0	25.602
775.0	24.486
776.0	17.150
777.0	19.671
778.0	22.936
779.0	16.262
780.0	15.621
781.0	13.080
782.0	31.883
783.0	27.875
784.0	25.891
785.0	19.527
786.0	22.874
787.0	29.796
788.0	26.098
789.0	24.011
790.0	23.473
791.0	27.565
792.0	23.308
793.0	23.556
794.0	31.842
795.0	24.217
796.0	29.404
797.0	15.291
798.0	25.622
799.0	23.081
800.0	16.613
